0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.3968428,-0.22520295,-0.33455178,-0.0016140601,-0.07967285,-0.02908405,-0.12161749,-0.18129191,-0.11316302,-0.808753,-0.25680065,-0.14560184,-0.38452676,-0.93595546,-0.29147285,-0.19388112
-0.22549972,-0.6416265,0.0061070677,8.296193e-05,-0.06877245,-0.7672608,-0.04465091,-0.21259798,-0.34501922,-0.08644896,-0.24773188,-0.14534527,-0.55233276,-0.5359206,-0.15754813,-0.18104084
-0.20321243,-0.24509874,-0.22281124,-0.19201264,-0.122000605,-0.26814616,-0.6306649,0.20235427,-0.362908,-0.67060107,-0.023465402,-0.008635571,-0.50909674,-0.27647835,-0.0373166,0.17271735
-0.54708135,0.28992638,-0.16597149,-55.504677,-0.1166045,0.18580973,-0.12232867,-0.6612701,-0.104417324,-0.009707102,-0.20180562,-0.33452135,-0.07454595,-0.020720055,-0.13447794,-0.18389484
-0.0808088,0.10537225,-0.11646568,1.0352724,-0.4872365,-0.17110267,-0.41312903,-0.5600211,-0.115904555,-0.0024789018,-0.1800544,-0.22760789,0.18361624,-0.28876334,0.39496246,-0.27806515
0.11488776,0.1429604,0.29385036,0.90597755,0.036512837,0.29742965,-0.14470206,-1.1158054,-0.13512968,0.03158401,-0.47363445,-0.42646414,0.11638572,0.16160434,0.17707962,-0.09150695
0.09876202,0.47907057,0.08496562,0.32565856,-0.25044265,-0.14967743,-0.028175509,-0.12079261,0.093245745,0.18967323,-0.40675902,-0.43665534,-0.21553287,-0.2135222,0.17956248,0.046187256
-0.35290456,-0.078858495,0.18691304,0.032993007,-0.06117761,-0.19321726,0.10460639,-1.6729265,-0.15132163,0.028610803,0.13826068,0.06329463,-0.39984313,-0.038509328,0.109183244,-0.26502734
-0.16408181,-0.371831,-0.18297942,2.8079245,-0.29666755,-0.0069453027,-0.116777465,-1.0902114,-0.16206953,0.26384404,0.17704959,0.08901875,-0.06521361,0.03763033,0.13139462,0.03346309
-0.107407965,-0.4747542,-0.37144205,-0.12521492,0.032794416,-0.7011392,-0.7275702,0.13686463,-0.038316105,-0.2159973,-0.21458457,-0.3571003,-0.49423242,-0.45959875,-0.10658856,0.038366575
-0.33091652,-0.057308845,-0.5087298,0.09356791,0.0132409725,-0.7924582,-0.374399,0.3266124,-0.36180362,-0.09376634,-0.07948176,-0.15771693,-0.15560514,-0.59632415,-0.49838594,-0.15535654
-0.4093445,-0.09278295,-0.13756977,-20.177713,-0.20245,-0.7012509,-0.5380426,-0.71676016,-0.17662936,0.46341252,0.113719754,0.16100274,-0.62733483,-0.32390714,0.25059086,-0.22958781
-0.43108055,-0.14928026,-0.30816153,-0.29071778,-0.4237684,-0.36389604,-0.44130653,0.3367012,-0.22311501,-0.5235842,-0.45085898,0.055024415,-0.5816324,-0.46047404,-0.33859766,-0.33253208
-0.463214,-0.33136314,-0.26205793,-0.54422915,-0.1802504,-0.5444788,-0.48170808,0.31569874,-0.5240245,-0.54169506,0.09242621,-0.15216467,-0.6318316,-0.5357474,-0.012018507,0.0034110225
-0.24082817,-0.05359218,-0.14188425,-13.865571,-0.0627026,-0.43565664,-0.16264172,-0.21041045,0.2116876,0.15856764,0.24047217,-0.06897105,-0.19199824,-0.3357838,0.11749145,0.21006674
-0.5352276,-0.27215144,-0.6920975,-0.0007927055,-0.21772443,-0.42375264,-0.43266377,0.09645498,-0.24941486,-0.5486492,-0.18468355,-0.42352262,-0.5178558,-0.65990406,-0.34371436,0.016365562
-0.023658512,-0.6610621,-0.32381254,3.0513394,-0.65274465,-0.2758183,-0.52267545,-0.63729095,-0.2782867,-0.46302846,-0.26503354,-0.1619011,-0.38337564,-0.40202183,-0.6444205,-0.1019036
-0.096638836,-0.1810919,-0.15144221,3.1794198,-0.49092686,-0.3985656,-0.113724925,-0.62537605,-0.37584168,-0.53026223,-0.11297682,-0.44725123,-0.024766898,-0.4163541,-0.105017915,-0.14590241
-0.08901165,-0.02609827,-0.14775619,0.23915656,-0.293677,-0.4059936,-0.13335335,-0.6489745,-0.06038743,0.29724863,-0.2925184,-0.038595047,-0.3123777,-0.007193568,0.073358916,-0.11521922
-0.30934325,-0.13848983,0.12765947,3.2819207,-0.806007,-0.20394765,-0.28551465,-1.1084684,-0.018332705,-0.17343487,0.10103166,-0.23680289,-0.19336383,-0.34205675,-0.35316136,0.20657045
-0.45639986,-0.41583958,-0.33465663,-66.790215,1.202339,1.9883388,-2.0827663,3.5228968,0.14878711,-2.5028934,0.11810535,0.5498152,0.45530114,-0.8416845,-0.72455305,0.04477793
-0.09834748,-0.114285715,-0.11003826,-66.49552,-0.27278048,-0.57848376,-0.43552655,1.2161459,0.12817638,-0.30232003,0.21516632,-0.07710823,-0.19138473,-0.008764848,-0.12324895,-0.24811931
-0.43344206,-0.12702037,0.12901215,-2.0841467,-0.6022449,-0.44014263,-0.1494567,-1.2980105,0.1333952,-0.12061671,-0.28003922,-0.24802716,-0.41958073,-0.1490062,-0.12972634,-0.090319365
-0.47115752,-0.4248272,-0.021985339,-63.876904,-0.025949826,-0.6547442,-0.3142435,0.12573147,0.040387835,-0.22576492,-0.013508414,-0.09873015,-0.4258034,0.012382758,0.026798321,0.21982193
-0.23553653,0.09488468,0.28277752,-15.295158,-0.035272997,0.45590606,-0.27955845,-1.0848143,-0.17275189,-1.566346,0.013344617,-0.117719755,0.075965166,-0.5651816,-0.102989264,0.04199645
-0.35621738,-0.11717254,0.11977004,0.53823555,-0.017112486,0.12244169,-0.17559874,-1.610458,-0.058545582,-0.41031885,-0.2952192,-0.15696645,-0.10137723,-0.36434776,0.07640109,0.0019057989
-0.23542988,-0.18455468,-0.13982889,-0.069663405,-0.38747954,0.03593814,-0.46623388,-1.5851483,-0.2649555,-0.43276975,0.05861754,0.08688783,-0.1359336,-0.14722988,-0.25395465,-0.047118664
-0.41473836,0.087441474,-0.1324979,-0.030121991,-0.57158124,0.43413308,-0.093557954,-2.0151236,-0.27595666,-0.22344752,-0.02964487,-0.11672698,-0.51406515,-0.34487116,0.037184693,0.14037377
-0.17390008,0.42883256,-0.31683853,-0.08686276,-0.51349664,1.0203713,-0.5228707,-1.753128,-0.00880884,-0.66196513,0.1370289,0.14584264,-0.03995891,-0.05134874,-0.22462732,-0.071327835
-0.097467534,-0.24790747,-0.013475994,-0.083027005,-0.58374083,0.45484304,-0.12307103,-1.6498581,0.035130084,-0.800363,-0.34903318,0.071770005,-0.093230605,-0.065138064,-0.027100751,0.28343642
-0.26840514,-0.52830446,-0.2421992,0.4126859,-0.5325736,0.68685216,-0.22636586,-0.051848687,-0.27462614,-1.2103267,0.17030515,-0.34959328,-0.06920532,-0.51157784,-0.41104925,-0.2880671
0.07662621,-0.42185715,0.06460214,-4.758451,-0.17506817,0.12653841,0.13131775,1.5960926,0.028224034,-0.17872152,0.2743013,-0.009781358,-0.032520264,-0.1487223,-0.20190233,-0.2967582
-0.07739955,0.15193461,0.21947712,-9.371406,0.055392843,0.18901105,0.33025205,1.363671,-0.26035357,0.008759641,0.19217974,0.15493591,0.053677022,-0.17723627,-0.27926436,0.19529763
-0.21477273,-0.5644427,0.15277003,3.278167,0.110213645,0.2925746,0.09564067,-1.2014693,0.15156156,0.38201967,-0.25159526,0.14969367,-0.37766623,-0.23073713,0.002249557,0.25216413
-0.00848212,-0.04051645,0.032028828,-9.222461,0.12325101,-0.088457294,-0.1319371,-1.6670364,-0.19252431,0.2022273,0.18220323,0.18651053,-0.048292816,-0.49764135,0.25111258,0.26278782
-0.12779081,-0.00016553687,-0.09778269,2.9878323,-0.22822961,0.41506767,-0.4005363,-0.5787388,-0.29645783,-0.8525819,0.07708631,-0.4596034,-0.23557386,-0.5761627,-0.5691841,0.009966999
-0.00804469,-0.17174035,-0.17769745,-9.040625,-0.5685145,-0.18795826,-0.17228073,-1.5617273,0.07491492,-0.27429837,-0.037610024,0.34269536,-0.092986956,-0.046218228,-0.07609557,-0.2509731
0.053113405,-0.27363482,0.26199463,-9.45517,-0.007446631,0.087469265,-0.07027852,0.046880234,0.23710127,0.026074354,-0.29157078,0.036857314,-0.006516218,-0.019565819,0.025554145,0.1422235
-0.25305274,-0.079612814,-0.1112429,2.00503,0.124429874,0.55932933,-0.27084675,0.468342,0.20046711,-0.23068598,0.07519856,0.28844047,-0.12695296,-0.35805976,0.2790539,-0.26491442
-0.17763755,0.23427735,0.097777665,-9.312321,-0.28540903,0.047437705,0.28036994,-1.1817441,-0.117781274,-0.36006367,0.25860733,0.060152456,0.097433925,-0.3254777,-0.41257045,-0.2763456
-0.043813825,0.3237618,-0.033729136,5.0840816,-0.5148339,-0.04069993,-0.26695883,-1.9136124,0.011573256,-0.24208108,-0.2131998,0.30294126,-0.29326332,-0.07720058,0.025965024,-0.23418516
0.16225415,-0.30804798,0.016230315,-4.956276,0.20099838,-0.21089529,0.11121676,1.3650566,0.21056314,-0.43384823,-0.18485868,0.11283178,0.1661511,-0.053182483,0.17114858,-0.089538574
-0.45134878,-0.5138939,0.30796438,3.1362164,0.13223109,-0.6578197,0.2814444,-1.0149407,0.018380424,0.75976413,-0.092507005,-0.43746662,-0.43248755,-0.21918657,-0.23352559,0.22136235
-0.16662973,-0.5418757,0.049301136,3.0495858,-0.4819996,0.041022364,-0.11827206,-0.67241913,-0.07800269,-0.6046662,-0.26482442,-0.08062734,-0.06733689,-0.44323376,-0.58161867,0.17915204
-0.013964504,0.28786895,-0.16200937,-0.05896105,-0.7062256,-0.07348573,-0.20469825,-1.999395,0.0008660609,0.20169112,-0.024199009,0.35948715,-0.1442624,-0.35916638,0.03204939,0.21918511
-0.20446053,-0.34725666,-0.6766828,0.13382791,-0.45386943,-0.61553967,-0.5753912,0.9564288,-0.004932615,-0.7645179,-0.011939229,-0.051141433,-0.533676,-0.3629048,-0.27402687,-0.27646524
-0.29549482,-0.16847402,-0.12919915,0.16046704,-0.25048646,-0.20017272,-0.6646862,0.45406315,-0.43329245,-0.28097868,-0.39593533,-0.29686815,-0.3395947,-0.26239052,-0.36749926,0.14771463
-0.14888261,0.20482934,-0.27947995,-7.8474293,0.1596343,1.0406826,-0.39626348,2.780988,-0.30820838,-1.3733763,0.29474533,-0.1973759,-0.17239365,-0.29085684,-0.017692886,-0.20466927
-0.5601119,0.24364562,-0.058615323,-7.1120358,-0.3796217,-0.6177635,-0.026759356,-1.2221389,-0.36258247,-0.21103203,0.15877266,-0.011301015,-0.6714396,0.04287223,-0.17266367,-0.15155537
