number,value,datetime_start,datetime_complete,duration,params_num_layers,params_units_layer_0,params_units_layer_1,params_units_layer_2,state
0,0.7430088520050049,2024-09-13 11:07:19.533560,2024-09-15 15:42:01.643270,2 days 04:34:42.109710,3,75,50.0,75.0,COMPLETE
1,0.7429746985435486,2024-09-13 11:07:19.567702,2024-09-13 21:27:20.442780,0 days 10:20:00.875078,1,75,,,COMPLETE
2,0.7430589199066162,2024-09-13 11:07:19.583560,2024-09-14 20:40:35.616507,1 days 09:33:16.032947,2,75,50.0,,COMPLETE
3,0.7430179715156555,2024-09-13 11:07:19.590566,2024-09-15 00:51:24.331991,1 days 13:44:04.741425,1,100,,,COMPLETE
4,0.742965579032898,2024-09-13 11:07:19.602560,2024-09-13 16:26:22.461664,0 days 05:19:02.859104,1,50,,,COMPLETE
5,0.742961049079895,2024-09-13 11:07:19.608559,2024-09-14 05:08:53.441259,0 days 18:01:33.832700,1,100,,,COMPLETE
6,0.743052065372467,2024-09-13 11:07:19.613249,2024-09-14 22:59:19.127696,1 days 11:51:59.514447,2,75,75.0,,COMPLETE
7,0.7429360151290894,2024-09-13 11:07:19.621250,2024-09-14 23:22:21.015209,1 days 12:15:01.393959,1,50,,,COMPLETE
8,0.7430634498596191,2024-09-13 16:26:22.474829,2024-09-15 22:03:39.305780,2 days 05:37:16.830951,2,100,50.0,,COMPLETE
9,0.48420459032058716,2024-09-13 21:27:20.474032,2024-09-15 15:20:45.598514,1 days 17:53:25.124482,2,75,100.0,,PRUNED
