number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.9325279597252505,2024-10-25 22:58:06.151020,2024-10-25 22:59:03.326651,0 days 00:00:57.175631,0.7002286196966863,1.1659251790857779,0.08059383860713519,4,6,100,2.2343428871051616,8.399202035187205,0.9961756838452552,COMPLETE
1,0.9296534678252637,2024-10-25 22:58:06.153021,2024-10-25 22:59:23.714185,0 days 00:01:17.561164,0.5106250401198541,3.9344867735121074,0.029151351807122392,4,10,200,1.3419208036246233,3.0643278589529266,0.9409040399860145,COMPLETE
2,0.9298878879881288,2024-10-25 22:58:06.158020,2024-10-25 22:59:11.234170,0 days 00:01:05.076150,0.9957538255448275,3.879002159886537,0.08894476339284077,6,2,700,3.162903132953563,8.815544719548079,0.5174651748516081,COMPLETE
3,0.9283994337501309,2024-10-25 22:58:06.161019,2024-10-25 22:58:48.383631,0 days 00:00:42.222612,0.7597446598848457,0.1140508585256167,0.19542081087333843,9,3,100,7.227120451450217,7.850207443708671,0.7729728829991649,COMPLETE
4,0.9313148922805212,2024-10-25 22:58:06.163019,2024-10-25 22:58:47.291630,0 days 00:00:41.128611,0.6640132568956748,2.7043233747835305,0.17856660342728242,5,3,700,7.878041038100841,1.0548623238321853,0.8084746847544642,COMPLETE
5,0.9255249418501441,2024-10-25 22:58:06.167019,2024-10-25 22:58:40.232105,0 days 00:00:34.065086,0.9394228233947035,1.9762865764173654,0.28155654312992023,10,5,800,2.2641594598081083,0.5761153183482604,0.6239951499468264,COMPLETE
6,0.9326349281490821,2024-10-25 22:58:06.170019,2024-10-25 22:59:13.001173,0 days 00:01:06.831154,0.6744991072269428,0.8603613221867412,0.07356222186967436,5,9,500,8.09074732075009,7.670181467583394,0.6451802043106292,COMPLETE
7,0.9258799859803087,2024-10-25 22:58:06.172019,2024-10-25 22:59:09.235166,0 days 00:01:03.063147,0.965627765202381,3.4594203830765564,0.08282861707020925,10,6,100,4.259132137237117,9.09880311600242,0.6243893745052704,COMPLETE
8,0.9320773267908107,2024-10-25 22:58:06.174020,2024-10-25 22:59:19.176182,0 days 00:01:13.002162,0.7283886160469067,4.226353743130264,0.05313187442751663,5,10,200,3.6110200483835797,0.21119858907119426,0.666338213703751,COMPLETE
9,0.9284745392392042,2024-10-25 22:58:06.175018,2024-10-25 22:58:54.814640,0 days 00:00:48.639622,0.9201123174663278,4.322639051583106,0.13955010408030658,9,1,200,5.858413664382837,8.197411821222234,0.6763261207773325,COMPLETE
